1	1	1	1
2	2	13	10
3	3	231	193
4	4	2479	1129
5	5	129	95
6	6	12	10
7	7	78	73
8	8	47	41
9	9	9	3
10	10	434	335
11	11	40	36
12	12	40	34
13	13	89	43
14	14	204	112
15	15	569	475
16	16	215	110
17	17	456	340
18	18	469	377
19	19	2317	1324
20	20	3467	1483
21	21	85	57
22	22	425	325
23	23	223	204
24	24	138	97
25	25	12	12
26	26	244	196
27	27	137	54
28	28	24	18
29	29	44	34
30	30	30	28
31	31	166	142
32	32	15943	2464
33	33	246	207
34	34	9	4
35	35	196	163
36	36	200	156
37	37	2116	951
38	38	55	49
39	39	98	56
40	40	754	510
41	41	73	27
42	42	20	13
43	43	20	19
44	44	5	2
45	45	209	144
46	46	6	5
47	47	230	195
48	48	7	7
49	49	32	30
50	50	1555	967
51	51	468	378
52	52	433	372
53	53	252	199
54	54	289	230
55	55	26	24
56	56	344	252
57	57	638	469
58	58	247	203
59	59	302	244
60	60	790	485
61	61	295	206
62	62	591	442
63	63	135	56
64	64	796	411
65	65	39	37
66	66	1038	723
67	67	2821	1271
68	68	23	21
69	69	21	20
70	70	1462	734
71	71	2735	1151
72	72	879	490
73	73	691	531
74	74	73	61
75	75	100	74
76	76	40	35
77	77	106	93
78	78	483	407
79	79	890	532
80	80	706	427
81	81	88	73
82	82	714	396
83	83	3	3
84	84	17	15
85	85	184	165
86	86	1381	741
87	87	27	26
88	88	1076	690
89	89	935	451
90	90	1242	674
91	91	136	100
92	92	151	117
93	93	456	235
94	94	34	32
95	95	2481	1333
96	96	818	609
97	97	41	38
98	98	1079	584
99	99	211	151
100	100	1	1
101	101	2	1
102	102	78	64
103	103	1	1
104	104	3	3
105	105	426	257
106	106	206	165
107	107	132	104
108	108	505	348
109	109	226	200
110	110	85	68
111	111	26	16
112	112	56	44
113	113	115	69
114	114	539	392
115	115	302	244
116	116	10	8
117	117	159	121
118	118	14	9
119	119	170	148
120	120	115	104
121	121	9	9
122	122	741	489
123	123	52	51
124	124	76	58
125	125	725	533
126	126	581	456
127	127	67	59
128	128	753	496
129	129	121	69
130	130	127	110
131	131	691	527
132	132	252	202
133	133	39	30
134	134	303	239
135	135	54	40
136	136	9	9
137	137	154	135
138	138	233	195
139	139	484	367
140	140	88	84
141	141	86	36
142	142	37	26
143	143	131	74
144	144	463	267
145	145	126	69
146	146	20	19
147	147	356	267
148	148	1	1
149	149	59	56
150	150	1461	937
151	151	273	215
152	152	94	80
153	153	808	555
154	154	131	118
155	155	625	391
156	156	1	1
157	157	257	119
158	158	176	166
159	159	80	67
160	160	154	132
161	161	178	151
162	162	198	165
163	163	166	130
164	164	14	11
165	165	491	410
166	166	107	91
167	167	40	30
168	168	4	4
169	169	647	357
170	170	361	221
171	171	618	453
172	172	83	70
173	173	307	223
174	174	350	295
175	175	50	43
176	176	228	139
177	177	162	133
178	178	45	32
179	179	288	248
180	180	1289	690
181	181	87	62
182	182	616	486
183	183	768	391
184	184	93	74
185	185	609	245
186	186	137	74
187	187	592	448
188	188	36	26
189	189	41	36
190	190	8	5
191	191	203	113
192	192	5	5
193	193	18	17
194	194	360	272
195	195	469	266
196	196	22	21
197	197	13	8
198	198	390	317
199	199	137	90
200	200	559	402
201	201	115	86
202	202	101	62
203	203	21	17
204	204	180	85
205	205	123	102
206	206	484	295
207	207	44	44
208	208	11	7
209	209	141	125
210	210	175	140
211	211	42	33
212	212	272	173
213	213	180	145
214	214	263	196
215	215	20	20
216	216	44	41
217	217	17	15
218	218	265	182
219	219	84	63
220	220	85	60
221	221	1142	819
222	222	552	290
223	223	153	129
224	224	2	2
225	225	50	41
226	226	19	12
227	227	226	190
228	228	2	2
229	229	2314	1093
230	230	334	174
231	231	302	240
232	232	772	629
233	233	517	386
234	234	365	282
235	235	65	56
236	236	78	57
237	237	1952	1085
238	238	247	165
239	239	295	200
240	240	110	86
241	241	145	124
242	242	242	205
243	243	119	70
244	244	368	291
245	245	369	251
246	246	113	84
247	247	572	204
248	248	579	367
249	249	591	274
250	250	499	302
251	251	3	3
252	252	680	446
253	253	293	244
254	254	705	541
255	255	197	179
256	256	409	343
257	257	1205	784
258	258	94	83
259	259	14	4
260	260	6	3
261	261	32	19
262	262	2	2
263	263	106	54
264	264	223	111
265	265	872	621
266	266	309	256
267	267	31	27
268	268	27	27
269	269	356	262
270	270	120	89
271	271	77	66
272	272	205	123
273	273	6	6
274	274	32	31
275	275	404	207
276	276	1	1
277	277	365	268
278	278	66	58
279	279	31	23
280	280	18	17
281	281	76	62
282	282	168	153
283	283	67	47
284	284	27	20
285	285	73	44
286	286	2036	1245
287	287	608	489
288	288	29	27
289	289	4	2
290	290	6	6
291	291	419	264
292	292	16	15
